<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LKOH,D,05/04/07,000000,2189.0000000,2193.0000000,2173.9400000,2180.0000000,1770199
LKOH,D,06/04/07,000000,2179.7600000,2184.9700000,2170.0400000,2183.0000000,663330
LKOH,D,09/04/07,000000,2184.0000000,2219.9800000,2176.5500000,2200.0000000,1652109
LKOH,D,10/04/07,000000,2173.0000000,2192.9500000,2156.1000000,2188.0500000,1675910
LKOH,D,11/04/07,000000,2194.0000000,2228.8900000,2181.0500000,2187.0000000,2245848
LKOH,D,12/04/07,000000,2185.0000000,2194.4300000,2168.5900000,2174.9600000,1732228
LKOH,D,13/04/07,000000,2201.2000000,2208.7000000,2185.5000000,2192.0000000,1999023
LKOH,D,16/04/07,000000,2202.0000000,2219.9000000,2177.1700000,2216.2400000,2001636
LKOH,D,17/04/07,000000,2208.0200000,2210.9600000,2175.0000000,2197.0400000,1860268
LKOH,D,18/04/07,000000,2185.1300000,2194.0000000,2150.2100000,2154.2000000,1757490
LKOH,D,19/04/07,000000,2148.0000000,2148.0000000,2078.0000000,2083.0500000,2430710
LKOH,D,20/04/07,000000,2112.0000000,2166.3000000,2111.0000000,2164.6900000,1316206
LKOH,D,23/04/07,000000,2174.9700000,2189.5000000,2151.0000000,2164.7000000,1834740
LKOH,D,24/04/07,000000,2169.9600000,2199.0000000,2126.2200000,2144.0000000,2855361
LKOH,D,25/04/07,000000,2124.0100000,2128.9800000,2075.1100000,2114.5000000,4279984
LKOH,D,26/04/07,000000,2136.0000000,2139.9700000,2080.1100000,2081.1100000,2046107
LKOH,D,27/04/07,000000,2082.0000000,2089.8800000,2011.0000000,2030.0500000,2245987
LKOH,D,28/04/07,000000,2042.3000000,2059.0000000,2042.3000000,2046.0100000,480536
LKOH,D,02/05/07,000000,2007.2000000,2023.6800000,1981.2500000,1988.0000000,1534790
LKOH,D,03/05/07,000000,1990.0000000,2015.0000000,1985.0400000,1985.5700000,1485106
LKOH,D,04/05/07,000000,1990.0200000,2029.9700000,1987.0000000,2013.5000000,1790040
LKOH,D,07/05/07,000000,2005.8900000,2018.9100000,1990.2000000,1995.2900000,971852
LKOH,D,08/05/07,000000,1996.4400000,2004.8500000,1982.0000000,1995.0100000,1133524
LKOH,D,10/05/07,000000,1992.9900000,2021.9700000,1950.1000000,1956.1700000,2549359
LKOH,D,11/05/07,000000,1936.0000000,1948.8700000,1908.0200000,1916.0000000,1615441
LKOH,D,14/05/07,000000,1919.8700000,1935.0000000,1875.0000000,1905.8000000,2167426
LKOH,D,15/05/07,000000,1888.5000000,1888.5000000,1860.6700000,1873.3900000,1844251
LKOH,D,16/05/07,000000,1885.0000000,1912.2300000,1870.0000000,1907.1100000,1802512
LKOH,D,17/05/07,000000,1921.0000000,1956.0000000,1907.0000000,1914.9400000,3189642
LKOH,D,18/05/07,000000,1941.0000000,1972.0000000,1938.0000000,1969.9900000,2999313
LKOH,D,21/05/07,000000,1981.0600000,2004.9900000,1973.3900000,1992.9600000,2214115
LKOH,D,22/05/07,000000,2004.3000000,2025.0000000,1961.7700000,2010.0000000,3253589
LKOH,D,23/05/07,000000,1995.1500000,2002.9000000,1935.2500000,1940.1100000,2841908
LKOH,D,24/05/07,000000,1923.0000000,1954.9400000,1880.0000000,1952.0000000,3030500
LKOH,D,25/05/07,000000,1917.0000000,1952.8700000,1915.1000000,1942.7700000,1752228
